OBJECTID,landcoversEastClassifications,thumbUrl,DownloadThumbPicture,EastOriginalUrl,DownloadOriginalPicture
83,null,https://data.globe.gov/system/photos/2020/06/22/1706167/thumb.jpg,golc_thumb_2020_06_22_1706167,https://data.globe.gov/system/photos/2020/06/22/1706167/original.jpg,golc_2020_06_22_1706167
84,null,https://data.globe.gov/system/photos/2020/06/22/1706175/thumb.jpg,golc_thumb_2020_06_22_1706175,https://data.globe.gov/system/photos/2020/06/22/1706175/original.jpg,golc_2020_06_22_1706175
85,null,https://data.globe.gov/system/photos/2020/06/22/1706184/thumb.jpg,golc_thumb_2020_06_22_1706184,https://data.globe.gov/system/photos/2020/06/22/1706184/original.jpg,golc_2020_06_22_1706184
86,null,https://data.globe.gov/system/photos/2020/06/22/1709827/thumb.jpg,golc_thumb_2020_06_22_1709827,https://data.globe.gov/system/photos/2020/06/22/1709827/original.jpg,golc_2020_06_22_1709827
87,null,https://data.globe.gov/system/photos/2020/06/22/1709831/thumb.jpg,golc_thumb_2020_06_22_1709831,https://data.globe.gov/system/photos/2020/06/22/1709831/original.jpg,golc_2020_06_22_1709831
88,null,https://data.globe.gov/system/photos/2020/06/22/1709842/thumb.jpg,golc_thumb_2020_06_22_1709842,https://data.globe.gov/system/photos/2020/06/22/1709842/original.jpg,golc_2020_06_22_1709842
89,null,https://data.globe.gov/system/photos/2020/06/22/1706427/thumb.jpg,golc_thumb_2020_06_22_1706427,https://data.globe.gov/system/photos/2020/06/22/1706427/original.jpg,golc_2020_06_22_1706427
90,null,https://data.globe.gov/system/photos/2020/06/22/1752450/thumb.jpg,golc_thumb_2020_06_22_1752450,https://data.globe.gov/system/photos/2020/06/22/1752450/original.jpg,golc_2020_06_22_1752450
91,null,https://data.globe.gov/system/photos/2020/06/22/1709875/thumb.jpg,golc_thumb_2020_06_22_1709875,https://data.globe.gov/system/photos/2020/06/22/1709875/original.jpg,golc_2020_06_22_1709875
92,null,https://data.globe.gov/system/photos/2020/06/22/1706467/thumb.jpg,golc_thumb_2020_06_22_1706467,https://data.globe.gov/system/photos/2020/06/22/1706467/original.jpg,golc_2020_06_22_1706467
93,null,https://data.globe.gov/system/photos/2020/06/21/1706489/thumb.jpg,golc_thumb_2020_06_21_1706489,https://data.globe.gov/system/photos/2020/06/21/1706489/original.jpg,golc_2020_06_21_1706489
94,null,https://data.globe.gov/system/photos/2020/06/22/1706485/thumb.jpg,golc_thumb_2020_06_22_1706485,https://data.globe.gov/system/photos/2020/06/22/1706485/original.jpg,golc_2020_06_22_1706485
95,null,https://data.globe.gov/system/photos/2020/06/22/1706496/thumb.jpg,golc_thumb_2020_06_22_1706496,https://data.globe.gov/system/photos/2020/06/22/1706496/original.jpg,golc_2020_06_22_1706496
96,null,https://data.globe.gov/system/photos/2020/06/22/1706502/thumb.jpg,golc_thumb_2020_06_22_1706502,https://data.globe.gov/system/photos/2020/06/22/1706502/original.jpg,golc_2020_06_22_1706502
97,null,https://data.globe.gov/system/photos/2020/06/22/1706508/thumb.jpg,golc_thumb_2020_06_22_1706508,https://data.globe.gov/system/photos/2020/06/22/1706508/original.jpg,golc_2020_06_22_1706508
98,null,https://data.globe.gov/system/photos/2020/06/22/1706514/thumb.jpg,golc_thumb_2020_06_22_1706514,https://data.globe.gov/system/photos/2020/06/22/1706514/original.jpg,golc_2020_06_22_1706514
99,null,https://data.globe.gov/system/photos/2020/06/22/1706530/thumb.jpg,golc_thumb_2020_06_22_1706530,https://data.globe.gov/system/photos/2020/06/22/1706530/original.jpg,golc_2020_06_22_1706530
100,null,https://data.globe.gov/system/photos/2020/06/22/1706656/thumb.jpg,golc_thumb_2020_06_22_1706656,https://data.globe.gov/system/photos/2020/06/22/1706656/original.jpg,golc_2020_06_22_1706656
101,null,https://data.globe.gov/system/photos/2020/06/22/1706674/thumb.jpg,golc_thumb_2020_06_22_1706674,https://data.globe.gov/system/photos/2020/06/22/1706674/original.jpg,golc_2020_06_22_1706674
102,null,https://data.globe.gov/system/photos/2020/06/22/1706686/thumb.jpg,golc_thumb_2020_06_22_1706686,https://data.globe.gov/system/photos/2020/06/22/1706686/original.jpg,golc_2020_06_22_1706686
103,null,https://data.globe.gov/system/photos/2020/06/22/1706692/thumb.jpg,golc_thumb_2020_06_22_1706692,https://data.globe.gov/system/photos/2020/06/22/1706692/original.jpg,golc_2020_06_22_1706692
104,"10% MUC 93 [Urban, Roads and Parking]; 40% MUC 43 [Herbaceous/Grassland, Short Grass]; 20% MUC 11 (b) [Trees, Loosely Spaced, Evergreen - Broad Leaved]; 20% MUC 12 (b) [Trees, Loosely Spaced, Deciduous - Broad Leaved]; 30% MUC 32 (l) [Shrubs, Loosely Spaced, Short Deciduous]",https://data.globe.gov/system/photos/2020/06/13/1706785/thumb.jpg,golc_thumb_2020_06_13_1706785,https://data.globe.gov/system/photos/2020/06/13/1706785/original.jpg,golc_2020_06_13_1706785
105,"80% MUC 12 (b) [Trees, Loosely Spaced, Deciduous - Broad Leaved]; 90% MUC 93 [Urban, Roads and Parking]; 10% MUC 43 [Herbaceous/Grassland, Short Grass]",https://data.globe.gov/system/photos/2020/06/22/1706854/thumb.jpg,golc_thumb_2020_06_22_1706854,https://data.globe.gov/system/photos/2020/06/22/1706854/original.jpg,golc_2020_06_22_1706854
