OBJECTID,landcoversNorthClassifications,thumbUrl,DownloadThumbPicture,NorthOriginalUrl,DownloadOriginalPicture
80,null,https://data.globe.gov/system/photos/2020/06/22/1706148/thumb.jpg,golc_thumb_2020_06_22_1706148,https://data.globe.gov/system/photos/2020/06/22/1706148/original.jpg,golc_2020_06_22_1706148
81,null,https://data.globe.gov/system/photos/2020/06/22/1706154/thumb.jpg,golc_thumb_2020_06_22_1706154,https://data.globe.gov/system/photos/2020/06/22/1706154/original.jpg,golc_2020_06_22_1706154
82,null,https://data.globe.gov/system/photos/2020/06/22/1706160/thumb.jpg,golc_thumb_2020_06_22_1706160,https://data.globe.gov/system/photos/2020/06/22/1706160/original.jpg,golc_2020_06_22_1706160
83,null,https://data.globe.gov/system/photos/2020/06/22/1706166/thumb.jpg,golc_thumb_2020_06_22_1706166,https://data.globe.gov/system/photos/2020/06/22/1706166/original.jpg,golc_2020_06_22_1706166
84,null,https://data.globe.gov/system/photos/2020/06/22/1706173/thumb.jpg,golc_thumb_2020_06_22_1706173,https://data.globe.gov/system/photos/2020/06/22/1706173/original.jpg,golc_2020_06_22_1706173
85,null,https://data.globe.gov/system/photos/2020/06/22/1706183/thumb.jpg,golc_thumb_2020_06_22_1706183,https://data.globe.gov/system/photos/2020/06/22/1706183/original.jpg,golc_2020_06_22_1706183
86,null,https://data.globe.gov/system/photos/2020/06/22/1709826/thumb.jpg,golc_thumb_2020_06_22_1709826,https://data.globe.gov/system/photos/2020/06/22/1709826/original.jpg,golc_2020_06_22_1709826
87,null,https://data.globe.gov/system/photos/2020/06/22/1709830/thumb.jpg,golc_thumb_2020_06_22_1709830,https://data.globe.gov/system/photos/2020/06/22/1709830/original.jpg,golc_2020_06_22_1709830
88,null,https://data.globe.gov/system/photos/2020/06/22/1709840/thumb.jpg,golc_thumb_2020_06_22_1709840,https://data.globe.gov/system/photos/2020/06/22/1709840/original.jpg,golc_2020_06_22_1709840
89,null,null,null,null,null
