OBJECTID,landcoversSouthClassifications,thumbUrl,DownloadThumbPicture,SouthOriginalUrl,DownloadOriginalPicture
84,null,https://data.globe.gov/system/photos/2020/06/22/1706179/thumb.jpg,golc_thumb_2020_06_22_1706179,https://data.globe.gov/system/photos/2020/06/22/1706179/original.jpg,golc_2020_06_22_1706179
85,null,https://data.globe.gov/system/photos/2020/06/22/1706185/thumb.jpg,golc_thumb_2020_06_22_1706185,https://data.globe.gov/system/photos/2020/06/22/1706185/original.jpg,golc_2020_06_22_1706185
86,null,https://data.globe.gov/system/photos/2020/06/22/1709828/thumb.jpg,golc_thumb_2020_06_22_1709828,https://data.globe.gov/system/photos/2020/06/22/1709828/original.jpg,golc_2020_06_22_1709828
87,null,https://data.globe.gov/system/photos/2020/06/22/1709832/thumb.jpg,golc_thumb_2020_06_22_1709832,https://data.globe.gov/system/photos/2020/06/22/1709832/original.jpg,golc_2020_06_22_1709832
88,null,https://data.globe.gov/system/photos/2020/06/22/1709844/thumb.jpg,golc_thumb_2020_06_22_1709844,https://data.globe.gov/system/photos/2020/06/22/1709844/original.jpg,golc_2020_06_22_1709844
89,null,https://data.globe.gov/system/photos/2020/06/22/1706428/thumb.jpg,golc_thumb_2020_06_22_1706428,https://data.globe.gov/system/photos/2020/06/22/1706428/original.jpg,golc_2020_06_22_1706428
90,null,https://data.globe.gov/system/photos/2020/06/22/1752451/thumb.jpg,golc_thumb_2020_06_22_1752451,https://data.globe.gov/system/photos/2020/06/22/1752451/original.jpg,golc_2020_06_22_1752451
91,null,null,null,null,null
92,null,https://data.globe.gov/system/photos/2020/06/22/1706468/thumb.jpg,golc_thumb_2020_06_22_1706468,https://data.globe.gov/system/photos/2020/06/22/1706468/original.jpg,golc_2020_06_22_1706468
93,null,https://data.globe.gov/system/photos/2020/06/21/1706491/thumb.jpg,golc_thumb_2020_06_21_1706491,https://data.globe.gov/system/photos/2020/06/21/1706491/original.jpg,golc_2020_06_21_1706491
94,null,https://data.globe.gov/system/photos/2020/06/22/1706486/thumb.jpg,golc_thumb_2020_06_22_1706486,https://data.globe.gov/system/photos/2020/06/22/1706486/original.jpg,golc_2020_06_22_1706486
95,null,https://data.globe.gov/system/photos/2020/06/22/1706497/thumb.jpg,golc_thumb_2020_06_22_1706497,https://data.globe.gov/system/photos/2020/06/22/1706497/original.jpg,golc_2020_06_22_1706497
96,null,https://data.globe.gov/system/photos/2020/06/22/1706503/thumb.jpg,golc_thumb_2020_06_22_1706503,https://data.globe.gov/system/photos/2020/06/22/1706503/original.jpg,golc_2020_06_22_1706503
97,null,https://data.globe.gov/system/photos/2020/06/22/1706509/thumb.jpg,golc_thumb_2020_06_22_1706509,https://data.globe.gov/system/photos/2020/06/22/1706509/original.jpg,golc_2020_06_22_1706509
98,null,https://data.globe.gov/system/photos/2020/06/22/1706515/thumb.jpg,golc_thumb_2020_06_22_1706515,https://data.globe.gov/system/photos/2020/06/22/1706515/original.jpg,golc_2020_06_22_1706515
99,null,https://data.globe.gov/system/photos/2020/06/22/1706531/thumb.jpg,golc_thumb_2020_06_22_1706531,https://data.globe.gov/system/photos/2020/06/22/1706531/original.jpg,golc_2020_06_22_1706531
100,null,https://data.globe.gov/system/photos/2020/06/22/1706657/thumb.jpg,golc_thumb_2020_06_22_1706657,https://data.globe.gov/system/photos/2020/06/22/1706657/original.jpg,golc_2020_06_22_1706657
101,null,https://data.globe.gov/system/photos/2020/06/22/1706675/thumb.jpg,golc_thumb_2020_06_22_1706675,https://data.globe.gov/system/photos/2020/06/22/1706675/original.jpg,golc_2020_06_22_1706675
102,null,https://data.globe.gov/system/photos/2020/06/22/1706687/thumb.jpg,golc_thumb_2020_06_22_1706687,https://data.globe.gov/system/photos/2020/06/22/1706687/original.jpg,golc_2020_06_22_1706687
103,null,https://data.globe.gov/system/photos/2020/06/22/1706693/thumb.jpg,golc_thumb_2020_06_22_1706693,https://data.globe.gov/system/photos/2020/06/22/1706693/original.jpg,golc_2020_06_22_1706693
104,"30% MUC 11 (b) [Trees, Loosely Spaced, Evergreen - Broad Leaved]; 20% MUC 32 (l) [Shrubs, Loosely Spaced, Short Deciduous]; 20% MUC 93 [Urban, Roads and Parking]",https://data.globe.gov/system/photos/2020/06/13/1706786/thumb.jpg,golc_thumb_2020_06_13_1706786,https://data.globe.gov/system/photos/2020/06/13/1706786/original.jpg,golc_2020_06_13_1706786
105,"70% MUC 12 (b) [Trees, Loosely Spaced, Deciduous - Broad Leaved]; 100% MUC 93 [Urban, Roads and Parking]; 10% MUC 92 [Urban, Commercial Property]; 10% MUC 43 [Herbaceous/Grassland, Short Grass]",https://data.globe.gov/system/photos/2020/06/22/1706855/thumb.jpg,golc_thumb_2020_06_22_1706855,https://data.globe.gov/system/photos/2020/06/22/1706855/original.jpg,golc_2020_06_22_1706855
106,"90% MUC 93 [Urban, Roads and Parking]; 70% MUC 02 (b) [Trees, Closely Spaced, Deciduous - Broad Leaved]; 30% MUC 94 [Urban, Other]; 10% MUC 01 (n) [Trees, Closely Spaced, Evergreen - Needle Leaved]",https://data.globe.gov/system/photos/2020/06/22/1706881/thumb.jpg,golc_thumb_2020_06_22_1706881,https://data.globe.gov/system/photos/2020/06/22/1706881/original.jpg,golc_2020_06_22_1706881
107,"20% MUC 1 [Trees, Loosely Spaced, Not Sure Which]; 20% MUC 93 [Urban, Roads and Parking]; 80% MUC 91 [Urban, Residential Property]",https://data.globe.gov/system/photos/2020/06/22/1706893/thumb.jpg,golc_thumb_2020_06_22_1706893,https://data.globe.gov/system/photos/2020/06/22/1706893/original.jpg,golc_2020_06_22_1706893
108,"10% MUC 12 (b) [Trees, Loosely Spaced, Deciduous - Broad Leaved]; 20% MUC 91 [Urban, Residential Property]; 80% MUC 93 [Urban, Roads and Parking]",https://data.globe.gov/system/photos/2020/06/22/1706900/thumb.jpg,golc_thumb_2020_06_22_1706900,https://data.globe.gov/system/photos/2020/06/22/1706900/original.jpg,golc_2020_06_22_1706900
109,"20% MUC 1 [Trees, Loosely Spaced, Not Sure Which]; 30% MUC 93 [Urban, Roads and Parking]; 70% MUC 91 [Urban, Residential Property]",https://data.globe.gov/system/photos/2020/06/22/1706972/thumb.jpg,golc_thumb_2020_06_22_1706972,https://data.globe.gov/system/photos/2020/06/22/1706972/original.jpg,golc_2020_06_22_1706972
110,null,https://data.globe.gov/system/photos/2020/06/22/1706924/thumb.jpg,golc_thumb_2020_06_22_1706924,https://data.globe.gov/system/photos/2020/06/22/1706924/original.jpg,golc_2020_06_22_1706924
111,null,https://data.globe.gov/system/photos/2020/06/22/1706928/thumb.jpg,golc_thumb_2020_06_22_1706928,https://data.globe.gov/system/photos/2020/06/22/1706928/original.jpg,golc_2020_06_22_1706928
112,null,https://data.globe.gov/system/photos/2020/06/22/1706933/thumb.jpg,golc_thumb_2020_06_22_1706933,https://data.globe.gov/system/photos/2020/06/22/1706933/original.jpg,golc_2020_06_22_1706933
113,null,https://data.globe.gov/system/photos/2020/06/22/1706937/thumb.jpg,golc_thumb_2020_06_22_1706937,https://data.globe.gov/system/photos/2020/06/22/1706937/original.jpg,golc_2020_06_22_1706937
114,null,https://data.globe.gov/system/photos/2020/06/22/1706948/thumb.jpg,golc_thumb_2020_06_22_1706948,https://data.globe.gov/system/photos/2020/06/22/1706948/original.jpg,golc_2020_06_22_1706948
115,"90% MUC 02 (b) [Trees, Closely Spaced, Deciduous - Broad Leaved]; 70% MUC 56 [Barren, Dirt/Other]; 10% MUC 93 [Urban, Roads and Parking]; 20% MUC 21 (c) [Shrubs, Closely Spaced, Tall Evergreen]; 20% MUC 22 (c) [Shrubs, Closely Spaced, Tall Deciduous]; 10% MUC 31 (l) [Shrubs, Loosely Spaced, Short Evergreen]; 10% MUC 32 (l) [Shrubs, Loosely Spaced, Short Deciduous]; 10% MUC 44 [Herbaceous/Grassland, Ferns or Flowers]; 10% MUC 43 [Herbaceous/Grassland, Short Grass]",https://data.globe.gov/system/photos/2020/06/22/1706959/thumb.jpg,golc_thumb_2020_06_22_1706959,https://data.globe.gov/system/photos/2020/06/22/1706959/original.jpg,golc_2020_06_22_1706959
116,"70% MUC 56 [Barren, Dirt/Other]; 30% MUC 93 [Urban, Roads and Parking]; 90% MUC 02 (b) [Trees, Closely Spaced, Deciduous - Broad Leaved]; 20% MUC 43 [Herbaceous/Grassland, Short Grass]",https://data.globe.gov/system/photos/2020/06/22/1709212/thumb.jpg,golc_thumb_2020_06_22_1709212,https://data.globe.gov/system/photos/2020/06/22/1709212/original.jpg,golc_2020_06_22_1709212
